No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
298,24.8750,19.0000, , ,1.0000, ,3.57656
299,24.9250,25.0000, , ,1.0000, ,3.56949
300,24.9750,28.0000, , ,1.0000, ,3.56246
301,25.0250,25.0000, , ,1.0000, ,3.55546
302,25.0750,34.0000, , ,1.0000, ,3.54848
303,25.1250,24.0000, , ,1.0000, ,3.54153
304,25.1750,28.0000, , ,1.0000, ,3.53461
305,25.2250,47.0000, , ,1.0000, ,3.52772
306,25.2750,51.0000, , ,1.0000, ,3.52085
307,25.3250,64.0000, , ,1.0000, ,3.51401
308,25.3750,96.0000, , ,1.0000, ,3.50720
309,25.4250,115.0000, , ,1.0000, ,3.50042
310,25.4750,191.0000, , ,1.0000, ,3.49366
311,25.5250,256.0000, , ,1.0000, ,3.48693
312,25.5750,398.0000, , ,1.0000, ,3.48023
313,25.6250,428.0000, , ,1.0000, ,3.47355
314,25.6750,318.0000, , ,1.0000, ,3.46690
315,25.7250,202.0000, , ,1.0000, ,3.46027
316,25.7750,97.0000, , ,1.0000, ,3.45368
317,25.8250,106.0000, , ,1.0000, ,3.44710
318,25.8750,47.0000, , ,1.0000, ,3.44055
319,25.9250,39.0000, , ,1.0000, ,3.43403
320,25.9750,41.0000, , ,1.0000, ,3.42754
321,26.0250,29.0000, , ,1.0000, ,3.42106
322,26.0750,28.0000, , ,1.0000, ,3.41462
323,26.1250,18.0000, , ,1.0000, ,3.40819
324,26.1750,24.0000, , ,1.0000, ,3.40180
325,26.2250,21.0000, , ,1.0000, ,3.39543
326,26.2750,31.0000, , ,1.0000, ,3.38908
327,26.3250,13.0000, , ,1.0000, ,3.38275
328,26.3750,24.0000, , ,1.0000, ,3.37645
329,26.4250,19.0000, , ,1.0000, ,3.37018
330,26.4750,10.0000, , ,1.0000, ,3.36393
331,26.5250,21.0000, , ,1.0000, ,3.35770
332,26.5750,14.0000, , ,1.0000, ,3.35150
333,26.6250,15.0000, , ,1.0000, ,3.34531
334,26.6750,11.0000, , ,1.0000, ,3.33916
335,26.7250,12.0000, , ,1.0000, ,3.33302
336,26.7750,13.0000, , ,1.0000, ,3.32691
337,26.8250,14.0000, , ,1.0000, ,3.32083
338,26.8750,16.0000, , ,1.0000, ,3.31476
339,26.9250,14.0000, , ,1.0000, ,3.30872
340,26.9750,16.0000, , ,1.0000, ,3.30270
341,27.0250,12.0000, , ,1.0000, ,3.29670
342,27.0750,15.0000, , ,1.0000, ,3.29073
343,27.1250,12.0000, , ,1.0000, ,3.28477
344,27.1750,11.0000, , ,1.0000, ,3.27884
345,27.2250,17.0000, , ,1.0000, ,3.27294
346,27.2750,8.0000, , ,1.0000, ,3.26705
347,27.3250,13.0000, , ,1.0000, ,3.26118
348,27.3750,16.0000, , ,1.0000, ,3.25534
349,27.4250,17.0000, , ,1.0000, ,3.24952
350,27.4750,13.0000, , ,1.0000, ,3.24372
351,27.5250,12.0000, , ,1.0000, ,3.23794
352,27.5750,12.0000, , ,1.0000, ,3.23218
353,27.6250,13.0000, , ,1.0000, ,3.22645
354,27.6750,8.0000, , ,1.0000, ,3.22073
355,27.7250,20.0000, , ,1.0000, ,3.21504
356,27.7750,7.0000, , ,1.0000, ,3.20936
357,27.8250,10.0000, , ,1.0000, ,3.20371
358,27.8750,10.0000, , ,1.0000, ,3.19808
359,27.9250,8.0000, , ,1.0000, ,3.19246
360,27.9750,13.0000, , ,1.0000, ,3.18687
361,28.0250,18.0000, , ,1.0000, ,3.18130
362,28.0750,12.0000, , ,1.0000, ,3.17575
363,28.1250,13.0000, , ,1.0000, ,3.17021
364,28.1750,13.0000, , ,1.0000, ,3.16470
365,28.2250,9.0000, , ,1.0000, ,3.15921
366,28.2750,9.0000, , ,1.0000, ,3.15374
367,28.3250,15.0000, , ,1.0000, ,3.14828
368,28.3750,9.0000, , ,1.0000, ,3.14285
369,28.4250,7.0000, , ,1.0000, ,3.13743
370,28.4750,13.0000, , ,1.0000, ,3.13204
371,28.5250,9.0000, , ,1.0000, ,3.12666
372,28.5750,12.0000, , ,1.0000, ,3.12130
